"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"298",-1.66461956134017,0.059955057428631,-0.772420025302118,-0.851825554764587,0.30965840166753,-0.620058595820655,0.607633793949615,0.578472150275319,8.1,0.7,0.546,0.548,0.577,19.7,18.3,2.6,19.7,116,106,25.5,13.3,38.8,0.159,1.2,-0.7,0.5,7.5
"301",0.20264933790228,0.878389174708367,-1.30397789217669,1.19958631920053,1.08156050437499,0.830443545297387,-1.08717181512066,0.0759609894300918,7.1,1.1,0.493,0.542,0.613,25.2,10.7,2.3,30.1,117,105,101,40.8,141.7,0.217,6,0.7,6.7,69
"304",-0.575379370115409,-0.758479059851105,0.910846553134037,-1.17573269275908,-0.793058887914563,-0.925427467634976,0.231010325267331,0.578472150275319,11.1,0.7,0.442,0.506,0.571,21.6,19.5,1.1,24.6,116,107,56.7,25.3,82,0.173,4.1,-0.7,3.4,31
"306",-0.730985111718947,-0.349262001211237,-1.64727568119986,-0.419949370771931,0.0891149437511111,-0.620058595820655,0.607633793949615,0.745975870557061,4.2,0.4,0.552,0.552,0.597,15.2,14.9,2.9,12.2,126,109,4.3,2.5,6.8,0.152,-1.2,0.3,-0.9,0.6
"312",-0.264167886908333,-0.553870530531171,-0.0304538361230232,-0.635887462768259,-0.462243701039935,-1.07811190354214,0.231010325267331,0.913479590838803,5.4,0.4,0.463,0.469,0.514,15.4,17.6,2.5,18.9,106,105,13.1,17.2,30.3,0.102,-1.1,-0.5,-1.7,1.2
"313",0.825072304316431,0.059955057428631,0.246399219540818,-0.419949370771931,-1.01360234583098,0.830443545297387,0.419322059608473,-0.0915427308516505,5.5,0.5,0.492,0.492,0.523,12.5,14.5,2.1,15.8,102,105,6.7,14.1,20.8,0.074,-2.1,-0.3,-2.4,-1.3
"317",-0.108562145304796,-0.553870530531171,0.124583875048729,1.19958631920053,1.30210396229141,1.44118128892603,0.984257262631899,-0.594053891696877,4.6,0.4,0.517,0.524,0.554,17.9,17.9,5.5,18.4,109,104,7.7,10.2,17.8,0.128,-0.9,1.8,0.9,5
"320",0.825072304316431,0.878389174708367,-0.251936280654096,1.19958631920053,0.640473588542157,0.677759109390225,-0.898860080779521,0.243464709711834,8.3,0.7,0.491,0.497,0.543,20.8,13.9,2.6,25.9,112,106,70.3,41.1,111.4,0.155,2,-0.3,1.7,32.4
"323",0.358255079505818,1.6968232919881,-0.894235369794208,1.63146250319318,1.41237569124962,-0.543716377867072,-1.27548354946181,-1.76657993366907,5.7,0.6,0.48,0.48,0.494,15.4,16.1,7.1,17,101,99,1.8,8.5,10.3,0.107,-2.8,1.8,-1.1,1.1
"324",-0.730985111718947,-0.553870530531171,-0.307306891786865,-1.93151601474623,-1.45468926166382,-0.314689724006331,-0.522236612097237,-0.0915427308516505,3.6,0.5,0.452,0.452,0.522,13.5,16.1,1,14.3,114,109,1.7,0.9,2.5,0.106,-1.5,-0.5,-1.9,0
"326",-1.50901381973664,-0.144653471891303,1.40918205332895,-0.204011278775603,0.861017046458576,-1.00176968558856,-0.333924877756095,-0.259046451133393,2.9,0.2,0.466,0.467,0.51,11.6,14.4,2.3,17.8,99,103,0.8,2.1,2.9,0.075,-3.9,-0.8,-4.6,-1.2
"327",2.53673546195535,2.10604035062797,0.412511052939123,1.52349345719502,-0.241700243123517,1.05947019915813,-1.65210701814409,-1.76657993366907,3.2,0.3,0.419,0.42,0.47,11.2,16.3,4,13.8,97,103,0.2,2.9,3.1,0.062,-2.7,0.2,-2.5,-0.3
"329",-0.886590853322484,-1.78152170645077,-0.971754225380084,-1.06776364676091,-0.462243701039935,-1.07811190354214,1.17256899697304,0.745975870557061,3.6,0.4,0.474,0.474,0.479,12,16,4.2,15.7,100,106,0.9,6.1,6.9,0.06,-3.3,-0.2,-3.5,-2.1
"331",-0.730985111718947,-1.37230464781091,-1.14894018100494,-1.17573269275908,-0.682787158956353,0.44873245552948,0.231010325267331,1.41599075168403,2.2,0.2,0.408,0.532,0.546,10.1,9,0.9,15.5,107,110,3.9,3.3,7.2,0.065,-1.2,-1,-2.1,-0.1
"338",-0.264167886908333,0.469172116068499,1.79677633125833,0.227864905217053,0.419930130625739,0.296048019622318,-1.27548354946181,-1.43157249310559,2.8,0.3,0.439,0.44,0.465,9.9,10.8,2.4,17.9,95,105,-1.6,8.2,6.6,0.044,-3.6,-0.2,-3.8,-3.3
"341",1.44749527073058,0.878389174708367,-0.739197658622458,0.659741089209708,-0.351971972081726,-0.085663070145586,0.231010325267331,0.913479590838803,7.9,0.5,0.551,0.552,0.575,17.1,17.5,3.3,17,113,104,32.1,29.2,61.3,0.142,0,0.4,0.4,12.7
"342",-0.108562145304796,-0.349262001211237,-0.971754225380084,-0.851825554764587,-0.793058887914563,-1.00176968558856,1.73750419999647,1.08098331112055,1.5,0.2,0.437,0.449,0.483,10.8,8.9,2.9,19.6,96,108,0,0.4,0.5,0.026,-3.1,-1.6,-4.7,-0.6
"343",-1.04219659492602,-0.963087589171039,-0.495566969638277,-1.7155779227499,-1.01360234583098,-1.45982299331005,0.0426985909261888,-0.0915427308516505,4.7,0.7,0.432,0.504,0.537,13.4,9.4,0.9,20.1,107,108,14.3,16.1,30.4,0.089,-0.2,-0.3,-0.5,6.1
"348",-0.419773628511871,-1.37230464781091,-0.113509752822176,-0.635887462768259,-0.351971972081726,0.906785763250966,0.607633793949615,0.0759609894300918,2.6,0.3,0.457,0.457,0.482,8.1,12.4,1.4,10.5,105,106,3.3,4.9,8.2,0.074,-3.7,-0.4,-4.1,-2.9
"351",-0.575379370115409,-0.553870530531171,0.124583875048729,-1.39167078475541,-1.01360234583098,0.44873245552948,-0.710548346438379,-0.594053891696877,5.3,0.9,0.448,0.491,0.527,14,11.7,1.7,21.4,103,107,8.3,16.9,25.2,0.074,-1.3,0,-1.3,3
"352",0.0470435962987421,-1.16769611849097,-0.307306891786865,-0.743856508766423,-0.793058887914563,-0.620058595820655,1.36088073131418,1.75099819224751,4.9,0.7,0.456,0.501,0.533,13.4,13.6,3.6,19.1,102,110,1,4.7,5.7,0.055,-2.3,0.1,-2.3,-0.3
"356",-1.04219659492602,0.059955057428631,-0.573085825224153,0.659741089209708,1.41237569124962,-1.30713855740288,0.231010325267331,0.578472150275319,5.2,0.8,0.443,0.502,0.548,13.6,10.5,1.5,16.6,111,108,36.3,28.9,65.1,0.104,-0.3,-0.1,-0.4,12.3
"357",1.60310101233412,0.059955057428631,-0.0193797138964702,-1.28370173875724,-2.4471348222877,-0.39103194195991,0.607633793949615,0.913479590838803,6.2,0.8,0.574,0.575,0.587,17.9,16,3.5,17.5,114,106,19.2,15.1,34.3,0.144,-0.1,1.4,1.3,9.7
"359",-0.108562145304796,-0.963087589171039,0.19102860840805,-2.25542315274072,-2.22659136437128,-0.162005288099169,-0.710548346438379,-0.426550171415135,3,0.4,0.464,0.57,0.585,13.6,10.4,1.2,14.8,119,106,23.8,14.6,38.5,0.138,0.8,0.2,1,10.1
"364",0.20264933790228,1.28760623334823,0.0802873861425134,0.875679181206036,0.750745317500366,0.0670213657615761,-1.08717181512066,-1.43157249310559,3.2,0.3,0.46,0.46,0.497,10.6,11.7,2.6,17.9,97,108,-0.6,4.6,4,0.032,-3.3,-0.7,-4,-3.1
"365",1.9143124955412,0.059955057428631,0.622919375243643,0.44380299721338,-0.903330616872772,0.525074673483063,0.419322059608473,-0.259046451133393,3.9,0.2,0.482,0.564,0.588,12,13.3,1.4,15,113,109,9,6.5,15.5,0.104,-1.3,-0.1,-1.4,1.1
"366",-1.04219659492602,-0.349262001211237,0.0249167750097451,-0.743856508766423,-0.0211567852070982,-0.772743031727814,0.419322059608473,0.578472150275319,4.7,0.6,0.465,0.487,0.52,15.6,11.8,1.8,26.9,100,108,2,13.6,15.6,0.054,-0.7,-1,-1.7,0.9
"367",0.513860821109355,-0.349262001211237,-0.639530558583474,-0.204011278775603,-0.572515429998144,0.0670213657615761,-0.710548346438379,-1.0965650525421,3.4,0.1,0.477,0.479,0.487,11.3,16.8,1.7,13.8,99,107,0.5,1.5,2,0.047,-2.3,-1.6,-4,-1
"373",0.980678045919969,0.059955057428631,-0.462344602958616,-0.419949370771931,-1.12387407478919,0.754101327343804,-0.333924877756095,0.0759609894300918,3.1,0.4,0.46,0.547,0.579,13.5,11.2,2.6,15.5,114,108,7,6.2,13.2,0.116,-0.5,0.3,-0.2,2.4
