"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"334",0.0411767724001762,-0.669215875073677,1.18935458737495,0.75204328760877,1.07742339975604,0.82567482439695,0.0668864822949769,-0.175195206500076,3.8,0.9,0.471,0.531,0.572,16.2,7.3,0.6,20.8,114,111,11,6.3,17.3,0.12,1.1,-0.4,0.7,4.6
"341",-0.629839910633103,-0.401161064823932,1.42141914407121,0.349607471694551,1.31915833370285,0.341842013483713,0.925086056714649,-0.0265602062332476,3.5,1.6,0.372,0.451,0.497,11.8,6.8,1,17,103,106,3.3,12.9,16.2,0.08,-1.9,1.2,-0.6,3.4
"342",-0.725699436780715,-0.80324328019855,-1.33020345675581,-0.133315507402512,0.714820998835832,-1.98055547889981,1.44000580136645,2.05432979750235,3,0.9,0.431,0.503,0.538,15.9,6.7,0.4,23.3,109,111,12.8,3.7,16.6,0.089,1.6,-1.3,0.4,5.2
"343",-0.629839910633103,-0.80324328019855,0.74732686033447,-0.374776996951044,0.231351130942219,1.69657388404077,-1.99279249631224,-2.40472021050251,1.8,0.4,0.386,0.443,0.473,11,6.8,0.2,21.9,94,110,-2,2,0,-0.001,-1.5,-1.7,-3.3,-1
"344",0.232895824695399,0.671058176175048,1.24460805325502,0.591068961243082,0.593953531862429,0.438608575666362,0.410166312062846,0.419344794567238,1.8,0.6,0.38,0.405,0.431,7.9,7,0.6,17.4,88,111,-3.2,1.7,-1.6,-0.027,-4.3,-0.1,-4.4,-1.7
"346",-0.438120858337881,-0.133106254574187,-0.943429195595384,0.188633145328863,0.835688465809236,-0.432290483977459,2.12656546090219,2.20296479776918,2.1,0.6,0.38,0.432,0.482,10.1,7.3,1.2,17.2,97,109,-0.1,1.1,1.1,0.029,-2.6,-0.3,-2.9,-0.4
"350",0.616333929285844,0.80508558129992,-0.191982059626561,0.591068961243082,0.110483663968816,0.245075451301068,0.0668864822949769,-0.323830206766905,3,1,0.458,0.47,0.509,14.5,7.6,0.7,20,103,106,5,6.4,11.4,0.083,-0.6,0.4,-0.2,2.9
"351",-1.01327801522355,-1.07129809044829,-1.19759513864366,-0.2942898337682,0.835688465809236,-0.335523921794814,0.753446141830715,1.31115479616821,1,0.3,0.343,0.363,0.398,4.9,5.7,1,17.8,80,106,-1.8,0.9,-0.9,-0.045,-6.2,-0.3,-6.5,-1
"352",0.903912507728678,1.47522260692428,1.55402746218335,0.913017613974457,0.231351130942219,1.59980732185813,-0.791313092124695,-1.66154520916836,3.1,0.5,0.407,0.502,0.538,11.6,8.1,1.1,17.8,106,110,5.6,4.4,10.1,0.069,-0.1,-0.8,-1,1.8
"355",1.19149108617151,-1.07129809044829,1.35511498501514,0.269120308511707,-1.09819100576522,0.535375137849007,1.78328563113432,1.31115479616821,3.8,0.7,0.438,0.495,0.524,12.4,11.3,1.3,16,105,108,3.6,4.5,8.1,0.073,-0.9,0.1,-0.8,1.6
"357",0.520474403138233,-0.535188469948805,0.305299133293985,-0.535751323316731,-1.46079340668543,1.21274107312754,-0.448033262356827,-0.769735207567391,2.4,0.6,0.42,0.499,0.555,12.9,6.7,0.6,19.1,110,110,7.2,3.5,10.8,0.091,-0.3,-0.7,-1,1.4
