"","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT"
"166",-0.216662245643596,1.22263387167182,0.324197628931809,1.03374218199947,1.61881574719585,0.876191981862386,-1.29085801992801,-0.381958357520701,0.661877321705038,1.11624537050054,1.8368057175425,2.64798040701233,-0.356262149726144,1.75607440116933,0.455337123253672,1.37806441414824,-0.555460922790677,0.940055831122435,1.377225366499,74,99,222,81,7,3.01,32,40
"167",-0.769999422372416,-0.201978355806996,-0.265691651205873,-0.415429101177356,-0.539021486335439,-0.000880215825636461,-0.896869985019925,-0.658183766736153,-0.284830484371389,0.166897669843845,-0.234779678182124,-0.0776721917019224,0.529472476664821,0.188726720701589,0.248042102550492,0.194120968773102,0.296989527115439,0.311088994241451,0.0836811331221565,74.25,97,163.6,74.5,0.25,3.19,28.5,31.5
"168",0.890012107814045,-0.201978355806996,0.96065711539615,0.980069171511436,1.2060121025203,0.763021375709093,-0.133518167385516,-0.58912741443229,0.845959395108788,0.905279214799053,2.35470206647366,0.80415659023504,-0.609329185837848,0.304826548884384,0.0784370856115264,0.708878988501422,-1.50262808935303,-0.0932468294677524,-0.491227415045331,78,103.5,254.4,83.75,5.75,3.3,33,38
"170",0.502676084103871,0.0829440896887663,-0.157027836443668,-0.576448132641448,-0.426438674151198,-0.28380673120887,0.0634758500685246,-0.658183766736153,-0.311127923429068,-0.255034641559132,-0.493727852647702,-0.478503456218724,1.54174062111164,0.42092637706718,0.0407470818473118,-0.269161248982386,0.770573110396615,0.131384183704028,-0.203773140961587,77.75,103.5,213.8,80,2.25,3.27,27.5,34.5
"171",0.558009801776753,-0.771823246798521,0.0447763909718548,-0.594339136137458,-0.745423308673214,-0.708196504283719,1.44243397224681,2.51840843924155,-1.96786658406282,-0.46600079726062,-1.27057237604444,-0.478503456218724,0.656005994720673,-0.0434729356640023,0.153817093139955,-0.989822476602034,1.05472326036532,-0.407730247908244,-0.634954552087203,81.75,108,264.2,89.75,8,3.29,34,33.5
"172",-0.437997116335124,-0.486900801302758,-0.0173172174636907,0.389666056143101,0.192766792862129,-0.679903852745396,-0.896869985019925,-1.00346552825547,0.0833336624361106,0.0614145919931005,2.35470206647366,-0.398337203315363,-0.7358627038937,-0.682021990669378,-0.750742997201193,-0.423588654900882,-1.21847793938432,-0.946844679520516,-1.20986310025469,74,98,201.6,79.5,5.5,3.14,34.5,42
"174",-0.271995963316478,0.367866535184529,-0.87110433345244,-0.916377199065641,-0.501493882274025,0.338631602634243,-0.502881950111843,-0.381958357520701,1.16152866380093,-0.149551563708388,1.05996119414577,-0.478503456218724,-0.482795667781996,-0.62397207657798,-0.581137980262228,0.40002417666443,-0.555460922790677,0.0864579810696717,-0.203773140961587,71,94,188.8,75.25,4.25,3.18,34,41
"175",-0.659331987026652,-0.486900801302758,0.293150824714037,0.31810204215906,0.324113407077077,-0.0291728673639602,-0.256639428294292,-0.658183766736153,0.504092687358968,-0.0440684858576436,0.283116670749032,-0.238004697508643,-0.356262149726144,-0.391772420212389,-0.0534779275632244,0.0396935628546059,-0.366027489478206,-0.183099234736464,-0.347500278003459,76.5,104.5,220.5,83.25,6.75,3.25,27.5,33.5
"177",-0.493330834008006,0.0829440896887663,-0.498542682839167,-0.648012146625488,-0.0886902375984742,-0.0574655189022834,-0.527506202293598,-0.243845652912974,0.346308053012896,-0.0440684858576436,-1.01162420157886,-0.318170950412003,1.28867358499993,0.304826548884384,0.417647119489457,-0.62949186279221,1.90717371027144,0.311088994241451,0.0836811331221565,73.25,97.5,181,81,7.75,3.07,34,37.5
"178",-0.936000575391063,-0.486900801302758,0.665712475327309,0.514903080615172,0.643098041599094,0.366924254172566,-0.699875967565884,-0.520071062128427,0.924851712281824,0.0614145919931005,0.024168496283454,-0.318170950412003,-0.862396221949552,-0.62397207657798,0.116127089375741,-0.11473384306389,-0.744894356103147,-0.4526564505426,-0.203773140961587,78,104,192,81.75,3.75,3.21,31.5,39
"179",-0.936000575391063,-1.05674569229428,-1.22814258195683,-1.7214723563861,-1.00811653710311,-0.595025898130426,-0.059645410840251,0.377661517821794,0.00444134526307473,-0.571483875111364,-1.01162420157886,-0.558669709122084,-0.609329185837848,-0.682021990669378,-0.0346329256811171,-0.526540258846546,0.86528982705285,-0.00339442419904032,-0.0600460039197153,76,102.5,214.6,82.25,6.25,3.14,31.5,35
"180",-0.105994810297832,2.64724609915063,0.27762742260515,0.586467094599212,1.03713788424394,1.47033766416718,-0.847621480656415,-0.658183766736153,0.504092687358968,0.905279214799053,0.024168496283454,1.20498785475184,-0.356262149726144,0.653126033432771,1.0583771834811,1.58396762203957,0.391706243771675,1.56902266800342,1.23349822945713,74.25,99.5,199,81.5,7.25,3.25,31.5,36
"181",-1.04666801073683,-1.05674569229428,-0.731393714472463,-0.82692218158559,-0.670368100550387,-0.934537716590306,-0.305887932657802,-0.865352823647742,-0.863374143640317,-0.46600079726062,1.05996119414577,-0.478503456218724,-1.11546325806126,-0.856171732943571,-0.863813008493836,-0.475064456873714,-1.78677823932173,-1.30625430059536,-0.347500278003459,77.5,100.5,211.4,82,4.5,3.15,36.5,41.5
"182",-0.60399826935377,-0.486900801302758,0.774376290089513,1.30210723443962,1.33735871673525,-0.312099382747193,-0.650627463202374,-0.174789300609111,-0.758184387409603,0.483346903396077,1.31890936861134,0.162826567008158,-0.7358627038937,-0.217622677938196,-0.185392940737975,0.451499978637262,-0.650177639446912,0.131384183704028,-0.203773140961587,78.75,103,211,79.75,1,3.22,30.5,34.5
"184",-0.216662245643596,-0.486900801302758,-0.358832063859191,-0.0397180277611435,-0.0323988315063536,-1.10429362582025,-0.108893915203761,1.13728139316429,-1.73118963254371,0.272380747694589,0.024168496283454,-0.398337203315363,0.529472476664821,0.0145769784273955,0.248042102550492,-1.04129827857487,1.71774027695897,-0.0932468294677524,-0.347500278003459,77.75,104.5,240.2,81.75,4,3.33,26,31.5
"185",-1.32333659910124,-1.05674569229428,-0.917674539779099,-0.093391038249173,0.174002990831422,-1.21746423197354,-1.61097329829082,-0.312902005216837,1.63488256683914,-0.676966952962108,0.801013019680188,-0.799168467832165,-0.7358627038937,-0.914221647034968,-1.05226302731491,-1.0927740805477,-1.59734480600926,-1.71059012430457,-0.778681689129074,75,97,198,79.25,4.25,3.15,32.5,40.5
"186",2.49468992032762,1.79247876266334,1.79892082927601,1.42734425891169,1.28106731064313,1.75326417955041,1.71330074624612,0.0323797563024781,-0.731886948351924,1.96010999330649,0.283116670749032,3.28931043023921,1.16214006694408,2.91707268299728,1.60488223806221,1.53249182006673,-0.081877339509501,1.29946545219728,1.95213391466649,81.75,108.5,246.6,86.25,4.5,3.35,25,29
"187",2.21802133196321,-0.486900801302758,2.00072505669153,1.65992730435982,1.73139855938009,1.78155683108873,2.57514957260755,1.82784491620292,0.293713174897539,1.53817768190352,-1.01162420157886,1.60581911926864,1.28867358499993,1.75607440116933,2.05716228323279,0.348548374691598,0.67585639374038,0.625572412681943,0.3711354072059,83,112,257,88.25,5.25,3.27,32,34
"188",-0.493330834008006,-1.05674569229428,0.122393401516287,-0.504884118657407,-0.144981643690595,-0.227221428132223,0.629833650248892,0.51577422242952,1.13523122474325,-0.782450030812852,-1.52952055051001,-0.719002214928804,0.149871922497265,-0.449822334303786,-0.0911679313274389,-1.45310469435752,0.296989527115439,-1.12654949005794,-0.778681689129074,79.25,108,215,86,6.75,3.22,33,38
"189",-0.60399826935377,-0.486900801302758,0.308674226822923,-0.0755000347531629,-0.182509247752009,-0.481855291977133,-0.0103969064767409,0.0323797563024781,-0.416317679659781,0.166897669843845,0.024168496283454,-0.398337203315363,-0.356262149726144,-0.449822334303786,0.210352098786277,-1.19572568449336,0.581139677084145,-0.767139868983092,-0.491227415045331,76.25,103,197,83.5,7.25,3.1,32.5,40.5
"190",0.613343519449634,0.0829440896887663,0.0602997930807411,0.174974014190978,0.361641011138491,-0.227221428132223,-0.158142419567271,-0.727240119040016,-0.127045850025318,0.0614145919931005,-0.234779678182124,0.242992819911519,1.16214006694408,0.711175947524168,0.134972091257848,0.245596770745934,0.296989527115439,0.356015196875808,0.0836811331221565,79,101.5,227.8,83.25,4.25,3.16,38,39.5
"191",0.447342366430988,-0.201978355806996,1.05379752804947,0.568576091103202,0.361641011138491,0.73472872417077,1.09769444170224,0.51577422242952,1.319313298147,0.0614145919931005,0.283116670749032,-0.478503456218724,0.0233384044414128,-0.333722506120991,-0.0346329256811171,-0.680967664765042,0.770573110396615,-0.22802543737082,-0.347500278003459,81.25,109.5,232,87.25,6,3.34,27,32.5
