"","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"456",-0.0435457235467443,0.240128884905982,-1.32357459770626,0.949204605772875,1.05966553409269,0.553665789666319,-1.30223271226364,-1.14202730835375,7.5,0.6,0.494,0.494,0.521,13.8,15.4,3.6,16.7,104,103,1.2,3.5,4.7,0.103,-2.4,0.5,-2,0
"467",-0.497935882295344,-0.155009492724704,0.342908193458927,0.629247997085388,1.05966553409269,-1.20197139639368,-0.212308210281866,0.654190799512738,4.5,0.6,0.43,0.43,0.451,10.9,17.1,1.9,19.1,90,107,-0.9,0.9,-0.1,-0.002,-3.8,-1.5,-5.3,-0.9
"468",1.92547829769719,0.437698073721324,-1.23409901160343,0.522595794189559,-0.90107613443256,-0.0315466056870135,1.05927037536353,0.980775910033918,2,0.2,0.459,0.536,0.558,14,11.8,4.1,17.8,114,110,0.8,0.5,1.3,0.113,-1.1,-0.9,-2,0
"469",1.01669798019999,0.305985281177763,-0.283420909260876,0.0959869826062436,-0.670400644017824,0.334211141408818,-1.12057862860001,-0.652149642571982,3.4,0.5,0.529,0.529,0.55,16,15.8,1.6,17.7,113,103,1.1,1.1,2.3,0.149,-1.3,0.5,-0.8,0.2
"471",-1.25525281354301,-0.484291474083608,-0.85382777066641,-1.1838394521437,-0.324387408395721,-1.20197139639368,0.877616291699904,1.3073610205551,2.4,0.3,0.467,0.485,0.54,14.2,11.6,1.1,20.6,104,106,0.4,0.4,0.9,0.087,-1,-0.9,-1.9,0
"480",-1.40671619979254,-0.155009492724704,-0.126838633580924,-1.71710046662285,-0.785738389225192,-1.71403224232784,0.695962208036275,0.817483354773328,3.9,0.4,0.549,0.549,0.582,15.3,13.5,3,13.9,118,109,1.8,0.8,2.6,0.119,-0.6,-0.3,-0.9,0.3
"483",-0.649399268544878,0.174272488634201,-0.596585460620777,-0.223969626081243,0.252301317641117,-0.543607451621181,0.332654040709019,0.490898244252148,6.5,0.5,0.439,0.439,0.469,13.3,15.5,3.3,19.2,98,108,0.3,0.9,1.1,0.038,-2.4,-2.3,-4.7,-1
"484",0.713771207700923,-0.220865888996485,-0.45118763320368,-1.1838394521437,-1.8237780960915,0.699968888504652,-0.212308210281866,0.327605688991558,3.9,0.4,0.421,0.424,0.488,10.3,11.9,1,16.7,101,109,0.7,0.7,1.4,0.046,-3.3,-1,-4.3,-0.8
"492",1.62255152519812,-0.352578681540046,0.521859365664585,-0.757230640560387,-2.05445358650624,0.480514240247151,0.332654040709019,0.164313133730968,5.7,0.5,0.438,0.438,0.486,11,12.5,2.8,15.9,102,110,0.8,1.2,2,0.048,-3.1,-0.9,-4,-1
"494",-0.800862654794411,0.10841609236242,-1.17817677028917,0.522595794189559,1.17500327930006,-0.982516748136177,1.78588671001804,1.96053124159746,3.7,0.6,0.475,0.475,0.521,14.8,15.9,6.2,20.9,95,93,-0.4,2.6,2.2,0.11,-4.1,3.1,-1,0.2
"496",1.77401491144766,0.371841677449543,-0.786721081089289,0.522595794189559,-0.785738389225192,0.187908042570485,0.695962208036275,0.00102057847037776,4.8,0.4,0.497,0.497,0.543,13,14.4,5,16.6,99,105,0.4,1.4,1.8,0.062,-3.3,-0.2,-3.5,-0.5
"498",-0.497935882295344,-0.0232967001811419,0.667257193081682,-1.1838394521437,-0.90107613443256,-0.177849704525347,-0.212308210281866,0.00102057847037776,6.3,0.4,0.459,0.459,0.521,13.7,15.4,1.1,15.8,109,102,2.7,2.1,4.8,0.128,-1.1,-0.9,-2,0
"502",-0.800862654794411,-0.0232967001811419,0.991606192704438,-0.757230640560387,-0.209049663188354,0.11475649315132,-0.757270461272751,-1.9584900846567,2,0.3,0.483,0.483,0.541,11.5,12.5,0.2,17.7,106,105,0.4,0.5,0.8,0.096,-3.6,-0.7,-4.3,-0.2
